Unnamed: 0,Rk,PLAYER,POSITION,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,W,SALARY_MILLIONS
136,162,Nik Stauskas,SG,23,27.4,3.1,7.9,396,1.7,4.5,368,1.5,3.4,433,0.5,1.5,1.9,813,0.3,2.6,2.8,2.4,0.6,0.4,1.6,1.8,9.5,PHI,80,27.4,27,2.99
137,163,Michael Beasley,PF,28,16.7,3.9,7.3,532,0.3,0.8,419,3.5,6.5,545,0.5539999999999999,1.4,1.9,743,0.7,2.7,3.4,0.9,0.5,0.5,1.2,1.6,9.4,MIL,56,16.7,23,1.4
138,164,Brandon Ingram,SF,19,28.8,3.5,8.7,402,0.7,2.4,294,2.8,6.3,443,442,1.7,2.7,621,0.8,3.2,4.0,2.1,0.6,0.5,1.5,2.0,9.4,LAL,79,28.8,26,5.28
139,165,Ish Smith,PG,28,24.1,4.1,9.2,439,0.3,1.3,267,3.7,8.0,467,458,0.9,1.3,706,0.3,2.6,2.9,5.2,0.8,0.4,1.4,1.6,9.4,DET,81,24.1,37,6.0
140,166,Cory Joseph,PG,25,25.0,3.7,8.3,452,0.6,1.7,0.35600000000000004,3.1,6.6,477,489,1.2,1.5,0.77,0.6,2.3,2.9,3.3,0.8,0.2,1.4,1.8,9.3,TOR,80,25.0,49,7.32
141,167,Marquese Chriss,PF,19,21.3,3.5,7.7,449,0.9,2.7,321,2.6,5.0,0.52,506,1.4,2.2,624,1.2,3.1,4.2,0.7,0.8,0.9,1.3,3.2,9.2,PHX,82,21.3,24,2.94
142,168,Jeff Green,PF,30,22.2,3.2,8.1,394,0.8,2.8,275,2.4,5.3,458,442,2.1,2.4,863,0.6,2.5,3.1,1.2,0.5,0.2,1.1,1.5,9.2,ORL,69,22.2,26,15.0
143,169,Gerald Henderson,SG,29,23.2,3.3,7.7,423,0.8,2.4,353,2.4,5.3,455,478,1.8,2.3,0.8059999999999999,0.5,2.1,2.6,1.6,0.6,0.2,0.9,1.8,9.2,PHI,72,23.2,24,9.0
144,170,Joe Johnson,SF,35,23.6,3.5,8.0,436,1.4,3.3,411,2.1,4.7,454,521,0.8,1.0,818,0.4,2.7,3.1,1.8,0.5,0.2,0.9,1.2,9.2,UTAH,78,23.6,47,11.0
145,171,Michael Kidd-Gilchrist,SF,23,29.0,3.6,7.6,477,0.0,0.1,111,3.6,7.5,483,478,1.9,2.4,784,1.9,5.0,7.0,1.4,1.0,1.0,0.7,2.3,9.2,CHA,81,29.0,36,13.0
146,172,Jameer Nelson,PG,34,27.3,3.6,8.1,444,1.4,3.6,388,2.2,4.4,489,531,0.6,0.8,0.7140000000000001,0.4,2.2,2.6,5.1,0.7,0.1,1.7,2.6,9.2,DEN,75,27.3,34,4.54
147,173,Tony Allen,SG,35,27.0,3.9,8.4,461,0.2,0.8,278,3.6,7.6,479,473,1.1,1.8,615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,MEM,71,27.0,36,5.51
148,174,Channing Frye,C,33,18.9,3.2,7.0,458,1.9,4.5,409,1.4,2.5,546,589,0.9,1.0,851,0.5,3.4,3.9,0.6,0.4,0.5,0.7,1.9,9.1,CLE,74,18.9,44,7.81
149,177,Jodie Meeks,SG,29,20.5,2.9,7.1,402,1.6,3.8,409,1.3,3.3,395,512,1.8,2.1,878,0.1,2.0,2.1,1.3,0.9,0.1,1.0,1.1,9.1,ORL,36,20.5,14,6.54
150,179,Doug McDermott,SF,25,22.8,3.4,7.5,447,1.2,3.2,0.37,2.2,4.4,502,524,1.1,1.3,845,0.3,2.4,2.7,0.9,0.2,0.1,0.6,1.2,9.0,CHI/OKC,66,22.8,35,2.48
151,180,Kelly Olynyk,C,25,20.5,3.5,6.8,512,0.9,2.6,354,2.6,4.2,608,579,1.2,1.6,732,1.0,3.8,4.8,2.0,0.6,0.4,1.3,2.8,9.0,BOS,75,20.5,49,3.09
152,181,Evan Turner,SF,28,25.5,3.6,8.5,426,0.5,1.8,263,3.1,6.7,0.47,454,1.3,1.6,825,0.6,3.2,3.8,3.2,0.8,0.4,1.5,1.9,9.0,POR,65,25.5,34,16.39
153,182,DeMarre Carroll,SF,30,26.1,3.1,7.6,0.4,1.5,4.4,341,1.5,3.2,483,499,1.2,1.6,0.7609999999999999,0.9,2.9,3.8,1.0,1.1,0.4,0.8,2.0,8.9,TOR,72,26.1,44,14.2
154,185,Al-Farouq Aminu,SF,26,29.1,3.0,7.6,393,1.1,3.5,0.33,1.9,4.2,445,468,1.6,2.2,706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7,POR,61,29.1,33,7.68
155,186,Rondae Hollis-Jefferson,SF,22,22.6,3.0,6.9,434,0.2,0.9,224,2.8,6.1,463,447,2.4,3.2,0.7509999999999999,1.2,4.6,5.8,2.0,1.1,0.6,1.5,2.3,8.7,BKN,78,22.6,19,1.4
156,187,Nerlens Noel,C,22,20.5,3.6,6.1,595,0.0,0.0,0.0,3.6,6.0,597,595,1.5,2.2,0.6940000000000001,1.8,3.9,5.8,1.0,1.3,1.0,1.0,2.5,8.7,DAL/PHI,51,20.5,24,4.38
157,188,Marreese Speights,C,29,15.7,3.0,6.7,445,1.3,3.4,0.3720000000000001,1.7,3.3,0.52,539,1.5,1.7,0.8759999999999999,1.1,3.5,4.5,0.8,0.3,0.5,0.8,2.8,8.7,LAC,82,15.7,51,1.4
158,190,Monta Ellis,SG,31,27.0,3.3,7.5,443,0.6,1.8,319,2.8,5.7,483,482,1.3,1.7,727,0.3,2.5,2.8,3.2,1.1,0.4,1.8,2.0,8.5,IND,74,27.0,39,10.76
159,191,Tony Snell,SG,25,29.2,3.1,6.8,455,1.8,4.4,406,1.3,2.3,0.5479999999999999,588,0.6,0.7,0.81,0.3,2.8,3.1,1.2,0.7,0.2,0.7,1.6,8.5,MIL,80,29.2,42,2.37
160,192,Arron Afflalo,SG,31,25.9,3.0,6.9,0.44,1.0,2.5,411,2.0,4.4,457,514,1.4,1.5,892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4,SAC,61,25.9,23,12.5
161,193,Tyson Chandler,C,34,27.6,3.3,4.9,0.6709999999999999,0.0,0.0,,3.3,4.9,0.6709999999999999,0.6709999999999999,1.9,2.6,0.7340000000000001,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4,PHX,47,27.6,15,12.42
162,195,Troy Daniels,SG,25,17.7,2.8,7.4,374,2.1,5.3,389,0.7,2.1,336,513,0.6,0.8,0.7959999999999999,0.3,1.2,1.5,0.7,0.3,0.1,0.7,1.3,8.2,MEM,67,17.7,33,3.33
163,197,Willy Hernangomez,C,22,18.4,3.4,6.5,529,0.1,0.2,267,3.4,6.3,0.5379999999999999,0.5329999999999999,1.3,1.7,728,2.4,4.6,7.0,1.3,0.6,0.5,1.4,2.1,8.2,NY,72,18.4,27,1.44
164,198,Caris LeVert,SF,22,21.7,3.0,6.7,0.45,1.0,3.2,321,2.0,3.4,0.5710000000000001,528,1.2,1.6,0.72,0.4,2.9,3.3,1.9,0.9,0.1,1.0,1.6,8.2,BKN,57,21.7,15,1.56
165,200,Willie Cauley-Stein,C,23,18.9,3.4,6.4,0.53,0.0,0.0,0.0,3.4,6.4,532,0.53,1.3,2.0,669,1.1,3.4,4.5,1.1,0.7,0.6,0.9,2.0,8.1,SAC,75,18.9,29,3.55
166,201,Al Jefferson,C,32,14.1,3.6,7.1,499,0.0,0.0,0.0,3.6,7.1,0.5,499,1.0,1.3,765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1,IND,66,14.1,33,10.31
167,202,Ben McLemore,SG,23,19.3,3.0,6.9,0.43,1.1,2.8,382,1.9,4.1,462,507,1.1,1.5,753,0.3,1.8,2.1,0.8,0.5,0.1,1.0,1.8,8.1,SAC,61,19.3,27,4.01
168,203,Tristan Thompson,C,25,29.9,3.4,5.6,0.6,0.0,0.0,0.0,3.4,5.6,604,0.6,1.4,2.7,498,3.7,5.5,9.2,1.0,0.5,1.1,0.8,2.3,8.1,CLE,78,29.9,50,15.33
